Predicted,Actual,Error,kernel,degree,C,gamma,epsilon
15.890292968750002,15.64,2.14003662109375,rbf,2,1.0,0.05,0.25
17.19,22.24,2.14003662109375,rbf,2,1.0,0.05,0.25
17.19,20.8,2.14003662109375,rbf,2,1.0,0.05,0.25
17.19,19.02,2.14003662109375,rbf,2,1.0,0.05,0.25
15.190000000000001,11.54,2.14003662109375,rbf,2,1.0,0.05,0.25
17.19,19.14,2.14003662109375,rbf,2,1.0,0.05,0.25
15.190000000000001,11.76,2.14003662109375,rbf,2,1.0,0.05,0.25
17.19,18.72,2.14003662109375,rbf,2,1.0,0.05,0.25
15.190000000000001,13.96,2.14003662109375,rbf,2,1.0,0.05,0.25
17.19,21.6,2.14003662109375,rbf,2,1.0,0.05,0.25
15.190000000000001,14.34,2.14003662109375,rbf,2,1.0,0.05,0.25
15.190000000000001,14.46,2.14003662109375,rbf,2,1.0,0.05,0.25
16.789414062499997,17.04,2.14003662109375,rbf,2,1.0,0.05,0.25
16.890292968750003,17.14,2.14003662109375,rbf,2,1.0,0.05,0.25
15.190000000000001,11.16,2.14003662109375,rbf,2,1.0,0.05,0.25
15.190000000000001,14.0,2.14003662109375,rbf,2,1.0,0.05,0.25
