Predicted,Actual,Error,kernel,degree,C,gamma,epsilon
16.34,15.64,2.5299999999999994,sigmoid,2,0.25,0.05,0.05
16.34,22.24,2.5299999999999994,sigmoid,2,0.25,0.05,0.05
16.34,20.8,2.5299999999999994,sigmoid,2,0.25,0.05,0.05
16.34,19.02,2.5299999999999994,sigmoid,2,0.25,0.05,0.05
16.34,11.54,2.5299999999999994,sigmoid,2,0.25,0.05,0.05
16.34,19.14,2.5299999999999994,sigmoid,2,0.25,0.05,0.05
16.34,11.76,2.5299999999999994,sigmoid,2,0.25,0.05,0.05
16.34,18.72,2.5299999999999994,sigmoid,2,0.25,0.05,0.05
16.34,13.96,2.5299999999999994,sigmoid,2,0.25,0.05,0.05
16.34,21.6,2.5299999999999994,sigmoid,2,0.25,0.05,0.05
16.34,14.34,2.5299999999999994,sigmoid,2,0.25,0.05,0.05
16.34,14.46,2.5299999999999994,sigmoid,2,0.25,0.05,0.05
16.34,17.04,2.5299999999999994,sigmoid,2,0.25,0.05,0.05
16.34,17.14,2.5299999999999994,sigmoid,2,0.25,0.05,0.05
16.34,11.16,2.5299999999999994,sigmoid,2,0.25,0.05,0.05
16.34,14.0,2.5299999999999994,sigmoid,2,0.25,0.05,0.05
