score,kernel,degree,C,gamma,epsilon
-10.080776241543655,1,2,0.25,0.05,0.05
-6.368395061728394,2,2,0.25,0.05,0.05
-6.368518518518518,3,2,0.25,0.05,0.05
-10.080776241543655,1,2,0.25,0.1,0.05
-6.368395061728394,2,2,0.25,0.1,0.05
-6.368518518518518,3,2,0.25,0.1,0.05
-10.080776241543655,1,2,0.25,0.15000000000000002,0.05
-6.368395061728394,2,2,0.25,0.15000000000000002,0.05
-6.368518518518518,3,2,0.25,0.15000000000000002,0.05
-10.059390328603415,1,2,0.25,0.05,0.1
-6.367777777777778,2,2,0.25,0.05,0.1
-6.368518518518518,3,2,0.25,0.05,0.1
-10.059390328603415,1,2,0.25,0.1,0.1
-6.367777777777778,2,2,0.25,0.1,0.1
-6.368518518518518,3,2,0.25,0.1,0.1
-10.059390328603415,1,2,0.25,0.15000000000000002,0.1
-6.367777777777778,2,2,0.25,0.15000000000000002,0.1
-6.368518518518518,3,2,0.25,0.15000000000000002,0.1
-10.032483222285178,1,2,0.25,0.05,0.15000000000000002
-6.367407407407408,2,2,0.25,0.05,0.15000000000000002
-6.368518518518518,3,2,0.25,0.05,0.15000000000000002
-10.032483222285178,1,2,0.25,0.1,0.15000000000000002
-6.367407407407408,2,2,0.25,0.1,0.15000000000000002
-6.368518518518518,3,2,0.25,0.1,0.15000000000000002
-10.032483222285178,1,2,0.25,0.15000000000000002,0.15000000000000002
-6.367407407407408,2,2,0.25,0.15000000000000002,0.15000000000000002
-6.368518518518518,3,2,0.25,0.15000000000000002,0.15000000000000002
-10.006662348814814,1,2,0.25,0.05,0.2
-6.366913580246914,2,2,0.25,0.05,0.2
-6.368518518518518,3,2,0.25,0.05,0.2
-10.006662348814814,1,2,0.25,0.1,0.2
-6.366913580246914,2,2,0.25,0.1,0.2
-6.368518518518518,3,2,0.25,0.1,0.2
-10.006662348814814,1,2,0.25,0.15000000000000002,0.2
-6.366913580246914,2,2,0.25,0.15000000000000002,0.2
-6.368518518518518,3,2,0.25,0.15000000000000002,0.2
-9.981526313814388,1,2,0.25,0.05,0.25
-6.366975308641975,2,2,0.25,0.05,0.25
-6.368148148148148,3,2,0.25,0.05,0.25
-9.981526313814388,1,2,0.25,0.1,0.25
-6.366975308641975,2,2,0.25,0.1,0.25
-6.368148148148148,3,2,0.25,0.1,0.25
-9.981526313814388,1,2,0.25,0.15000000000000002,0.25
-6.366975308641975,2,2,0.25,0.15000000000000002,0.25
-6.368148148148148,3,2,0.25,0.15000000000000002,0.25
-10.100436098733374,1,2,0.5,0.05,0.05
-6.36962962962963,2,2,0.5,0.05,0.05
-6.368518518518518,3,2,0.5,0.05,0.05
-10.100436098733374,1,2,0.5,0.1,0.05
-6.36962962962963,2,2,0.5,0.1,0.05
-6.368518518518518,3,2,0.5,0.1,0.05
-10.100436098733374,1,2,0.5,0.15000000000000002,0.05
-6.36962962962963,2,2,0.5,0.15000000000000002,0.05
-6.368518518518518,3,2,0.5,0.15000000000000002,0.05
