-182.22310867310003 {'epsilon': 0.05, 'C': 0.25, 'gamma': 0.05, 'degree': 2, 'kernel': 'linear'}
-60.7040836419753 {'epsilon': 0.05, 'C': 0.25, 'gamma': 0.05, 'degree': 2, 'kernel': 'rbf'}
-60.77077777777778 {'epsilon': 0.05, 'C': 0.25, 'gamma': 0.05, 'degree': 2, 'kernel': 'sigmoid'}
-182.22310867310003 {'epsilon': 0.05, 'C': 0.25, 'gamma': 0.1, 'degree': 2, 'kernel': 'linear'}
-60.7040836419753 {'epsilon': 0.05, 'C': 0.25, 'gamma': 0.1, 'degree': 2, 'kernel': 'rbf'}
-60.77077777777778 {'epsilon': 0.05, 'C': 0.25, 'gamma': 0.1, 'degree': 2, 'kernel': 'sigmoid'}
-182.22310867310003 {'epsilon': 0.05, 'C': 0.25, 'gamma': 0.15000000000000002, 'degree': 2, 'kernel': 'linear'}
-60.7040836419753 {'epsilon': 0.05, 'C': 0.25, 'gamma': 0.15000000000000002, 'degree': 2, 'kernel': 'rbf'}
-60.77077777777778 {'epsilon': 0.05, 'C': 0.25, 'gamma': 0.15000000000000002, 'degree': 2, 'kernel': 'sigmoid'}
-180.45194394759514 {'epsilon': 0.1, 'C': 0.25, 'gamma': 0.05, 'degree': 2, 'kernel': 'linear'}
-60.632182407407406 {'epsilon': 0.1, 'C': 0.25, 'gamma': 0.05, 'degree': 2, 'kernel': 'rbf'}
-60.77077777777778 {'epsilon': 0.1, 'C': 0.25, 'gamma': 0.05, 'degree': 2, 'kernel': 'sigmoid'}
-180.45194394759514 {'epsilon': 0.1, 'C': 0.25, 'gamma': 0.1, 'degree': 2, 'kernel': 'linear'}
-60.632182407407406 {'epsilon': 0.1, 'C': 0.25, 'gamma': 0.1, 'degree': 2, 'kernel': 'rbf'}
-60.77077777777778 {'epsilon': 0.1, 'C': 0.25, 'gamma': 0.1, 'degree': 2, 'kernel': 'sigmoid'}
-180.45194394759514 {'epsilon': 0.1, 'C': 0.25, 'gamma': 0.15000000000000002, 'degree': 2, 'kernel': 'linear'}
-60.632182407407406 {'epsilon': 0.1, 'C': 0.25, 'gamma': 0.15000000000000002, 'degree': 2, 'kernel': 'rbf'}
-60.77077777777778 {'epsilon': 0.1, 'C': 0.25, 'gamma': 0.15000000000000002, 'degree': 2, 'kernel': 'sigmoid'}
-178.58981720909762 {'epsilon': 0.15000000000000002, 'C': 0.25, 'gamma': 0.05, 'degree': 2, 'kernel': 'linear'}
-60.568412037037035 {'epsilon': 0.15000000000000002, 'C': 0.25, 'gamma': 0.05, 'degree': 2, 'kernel': 'rbf'}
-60.735899999999994 {'epsilon': 0.15000000000000002, 'C': 0.25, 'gamma': 0.05, 'degree': 2, 'kernel': 'sigmoid'}
-178.58981720909762 {'epsilon': 0.15000000000000002, 'C': 0.25, 'gamma': 0.1, 'degree': 2, 'kernel': 'linear'}
-60.568412037037035 {'epsilon': 0.15000000000000002, 'C': 0.25, 'gamma': 0.1, 'degree': 2, 'kernel': 'rbf'}
-60.735899999999994 {'epsilon': 0.15000000000000002, 'C': 0.25, 'gamma': 0.1, 'degree': 2, 'kernel': 'sigmoid'}
-178.58981720909762 {'epsilon': 0.15000000000000002, 'C': 0.25, 'gamma': 0.15000000000000002, 'degree': 2, 'kernel': 'linear'}
-60.568412037037035 {'epsilon': 0.15000000000000002, 'C': 0.25, 'gamma': 0.15000000000000002, 'degree': 2, 'kernel': 'rbf'}
-60.735899999999994 {'epsilon': 0.15000000000000002, 'C': 0.25, 'gamma': 0.15000000000000002, 'degree': 2, 'kernel': 'sigmoid'}
-176.71322170388672 {'epsilon': 0.2, 'C': 0.25, 'gamma': 0.05, 'degree': 2, 'kernel': 'linear'}
-60.50325401234568 {'epsilon': 0.2, 'C': 0.25, 'gamma': 0.05, 'degree': 2, 'kernel': 'rbf'}
-60.679103703703696 {'epsilon': 0.2, 'C': 0.25, 'gamma': 0.05, 'degree': 2, 'kernel': 'sigmoid'}
-176.71322170388672 {'epsilon': 0.2, 'C': 0.25, 'gamma': 0.1, 'degree': 2, 'kernel': 'linear'}
-60.50325401234568 {'epsilon': 0.2, 'C': 0.25, 'gamma': 0.1, 'degree': 2, 'kernel': 'rbf'}
-60.679103703703696 {'epsilon': 0.2, 'C': 0.25, 'gamma': 0.1, 'degree': 2, 'kernel': 'sigmoid'}
-176.71322170388672 {'epsilon': 0.2, 'C': 0.25, 'gamma': 0.15000000000000002, 'degree': 2, 'kernel': 'linear'}
-60.50325401234568 {'epsilon': 0.2, 'C': 0.25, 'gamma': 0.15000000000000002, 'degree': 2, 'kernel': 'rbf'}
-60.679103703703696 {'epsilon': 0.2, 'C': 0.25, 'gamma': 0.15000000000000002, 'degree': 2, 'kernel': 'sigmoid'}
-174.71730490683254 {'epsilon': 0.25, 'C': 0.25, 'gamma': 0.05, 'degree': 2, 'kernel': 'linear'}
-60.47803171296295 {'epsilon': 0.25, 'C': 0.25, 'gamma': 0.05, 'degree': 2, 'kernel': 'rbf'}
-60.61436666666667 {'epsilon': 0.25, 'C': 0.25, 'gamma': 0.05, 'degree': 2, 'kernel': 'sigmoid'}
-174.71730490683254 {'epsilon': 0.25, 'C': 0.25, 'gamma': 0.1, 'degree': 2, 'kernel': 'linear'}
-60.47803171296295 {'epsilon': 0.25, 'C': 0.25, 'gamma': 0.1, 'degree': 2, 'kernel': 'rbf'}
-60.61436666666667 {'epsilon': 0.25, 'C': 0.25, 'gamma': 0.1, 'degree': 2, 'kernel': 'sigmoid'}
-174.71730490683254 {'epsilon': 0.25, 'C': 0.25, 'gamma': 0.15000000000000002, 'degree': 2, 'kernel': 'linear'}
-60.47803171296295 {'epsilon': 0.25, 'C': 0.25, 'gamma': 0.15000000000000002, 'degree': 2, 'kernel': 'rbf'}
-60.61436666666667 {'epsilon': 0.25, 'C': 0.25, 'gamma': 0.15000000000000002, 'degree': 2, 'kernel': 'sigmoid'}
-182.22310867310003 {'epsilon': 0.05, 'C': 0.25, 'gamma': 0.05, 'degree': 3, 'kernel': 'linear'}
-60.7040836419753 {'epsilon': 0.05, 'C': 0.25, 'gamma': 0.05, 'degree': 3, 'kernel': 'rbf'}
-60.77077777777778 {'epsilon': 0.05, 'C': 0.25, 'gamma': 0.05, 'degree': 3, 'kernel': 'sigmoid'}
-182.22310867310003 {'epsilon': 0.05, 'C': 0.25, 'gamma': 0.1, 'degree': 3, 'kernel': 'linear'}
-60.7040836419753 {'epsilon': 0.05, 'C': 0.25, 'gamma': 0.1, 'degree': 3, 'kernel': 'rbf'}
-60.77077777777778 {'epsilon': 0.05, 'C': 0.25, 'gamma': 0.1, 'degree': 3, 'kernel': 'sigmoid'}
-182.22310867310003 {'epsilon': 0.05, 'C': 0.25, 'gamma': 0.15000000000000002, 'degree': 3, 'kernel': 'linear'}
-60.7040836419753 {'epsilon': 0.05, 'C': 0.25, 'gamma': 0.15000000000000002, 'degree': 3, 'kernel': 'rbf'}
-60.77077777777778 {'epsilon': 0.05, 'C': 0.25, 'gamma': 0.15000000000000002, 'degree': 3, 'kernel': 'sigmoid'}
-180.45194394759514 {'epsilon': 0.1, 'C': 0.25, 'gamma': 0.05, 'degree': 3, 'kernel': 'linear'}
-60.632182407407406 {'epsilon': 0.1, 'C': 0.25, 'gamma': 0.05, 'degree': 3, 'kernel': 'rbf'}
-60.77077777777778 {'epsilon': 0.1, 'C': 0.25, 'gamma': 0.05, 'degree': 3, 'kernel': 'sigmoid'}
-180.45194394759514 {'epsilon': 0.1, 'C': 0.25, 'gamma': 0.1, 'degree': 3, 'kernel': 'linear'}
-60.632182407407406 {'epsilon': 0.1, 'C': 0.25, 'gamma': 0.1, 'degree': 3, 'kernel': 'rbf'}
-60.77077777777778 {'epsilon': 0.1, 'C': 0.25, 'gamma': 0.1, 'degree': 3, 'kernel': 'sigmoid'}
-180.45194394759514 {'epsilon': 0.1, 'C': 0.25, 'gamma': 0.15000000000000002, 'degree': 3, 'kernel': 'linear'}
-60.632182407407406 {'epsilon': 0.1, 'C': 0.25, 'gamma': 0.15000000000000002, 'degree': 3, 'kernel': 'rbf'}
-60.77077777777778 {'epsilon': 0.1, 'C': 0.25, 'gamma': 0.15000000000000002, 'degree': 3, 'kernel': 'sigmoid'}
-178.58981720909762 {'epsilon': 0.15000000000000002, 'C': 0.25, 'gamma': 0.05, 'degree': 3, 'kernel': 'linear'}
-60.568412037037035 {'epsilon': 0.15000000000000002, 'C': 0.25, 'gamma': 0.05, 'degree': 3, 'kernel': 'rbf'}
